Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
10-06-20,13.96000004,99.36405182,16.91333389,34.20999908,19.89090919,12.77000046,15.84000015,22.39999962,22.52000046,11.15999985,99.36405182,14.35000038,4.559999943,6.659999847,6.561999798,16.5625,11.47999954,20.88999939,9.329999924,0.189999998,12.13799953,11.9765234,10.02999973,26.59000015,22.09000015,30.56135941,16.19000053,20.52000046,43.90000153,16.14999962,16.87999916,0.910000026,22.02000046,21.39999962,5.789999962,6.584000111,24.17000008,38.13000107,18.62000084,6.889999866,54.20000076,1.575198054,14.94999981,11.65999985
12-06-20,13.56999969,99.13482666,16.61666679,33.34999847,19.66363525,13.06999969,15.75249958,22.42000008,21.55999947,10.78999996,99.13482666,14.35999966,4.210000038,6.349999905,6.43599987,16.44000053,10.86999989,20.34000015,8.819999695,0.200000003,11.94200039,10.61807537,9.789999962,26.05999947,21.97999954,31.22985649,15.81999969,19.36000061,42.97999954,15.98750019,16.35000038,1.019999981,21.23999977,20.60000038,5.400000095,6.168000221,24.06999969,37.00999832,17.98999977,6.409999847,53.40000153,1.539998055,14.64000034,11.22000027
15-06-20,13.43000031,101.5566406,16.50333214,33.06999969,19.22727203,13.10000038,15.20250034,22.63999939,21.20000076,10.5,101.5566406,14.22000027,4.800000191,6.389999866,6.339000225,16.70499992,10.60999966,20.75,8.579999924,0.200000003,12.10599995,9.564583778,9.56000042,25.45000076,21.48999977,31.72873688,15.89000034,18.77000046,42.13000107,16.46249962,16.87000084,0.980000019,21.31999969,20.70000076,5.199999809,6.699999809,23.53000069,38.49000168,17.86000061,6.360000134,53.88000107,1.522398949,15.61999989,11.15999985
16-06-20,13.26000023,99.74276733,16.5,33.5,20.02727127,13.93000031,15.72500038,22.26000023,22.10000038,10.36999989,99.74276733,13.97999954,4.960000038,6.150000095,6.471000195,16.92499924,11.30000019,20.94000053,9.050000191,0.189999998,12.06999969,9.435208321,9.760000229,26.18000031,21.54999924,31.48927498,15.98999977,18.54999924,41.75999832,16.5,16.85000038,0.980000019,22.20000076,21.37000084,5.25,6.625999928,23.67000008,38.09999847,17.5,6.550000191,55.38999939,1.513599038,15.14999962,11.03999996
17-06-20,13.77000046,105.8421478,17.06666565,34.5,20.34545326,13.42000008,15.94750023,22.98999977,22.48999977,10.64000034,105.8421478,14.06000042,5.179999828,6.429999828,6.577000141,17.45499992,11.15999985,22.35000038,8.949999809,0.209999993,12.16399956,9.315073967,9.930000305,26.51000023,22.37999916,32.62672043,16.79999924,19.62999916,43.40000153,16.79750061,17.12000084,0.99000001,22.25,21.44000053,5.309999943,6.665999889,24.10000038,38.90000153,18.10000038,6.769999981,56.20000076,1.645598054,15.14000034,11.13000011
18-06-20,13.68000031,104.5265961,16.78666687,34.40000153,20.27272606,13.46000004,17.3125,22.87999916,22.36000061,10.56000042,104.5265961,14.60999966,5.630000114,6.329999924,6.544000149,17.89999962,11.64999962,22.35000038,8.869999886,0.209999993,12.06000042,9.379761696,10.25,27.54999924,22.45000076,33.32514954,17.19000053,20.64999962,43.04000092,17.42499924,16.78000069,1.090000033,22.60000038,21.60000038,5.369999886,7.03399992,23.45999908,39.54999924,18.84000015,6.800000191,56.16999817,1.671998024,15.13000011,11.09000015
19-06-20,13.84000015,103.649559,17,33.93999863,20.32727242,13.64000034,18,22.21999931,22.45000076,10.72000027,103.649559,15,5.699999809,6.309999943,6.590000153,17.63500023,11.21000004,22.77000046,8.760000229,0.209999993,12.56200027,9.601549149,10.40999985,28.09000015,22.36000061,32.85620499,17.29999924,22.39999962,43.90999985,17.85000038,17.72999954,1.090000033,22.28000069,21.46999931,5.289999962,7.024000168,23.82999992,39.5,18.65999985,6.980000019,55.16999817,1.663197994,15.18000031,10.85000038
22-06-20,14.10999966,102.0549545,16.77666664,33.24000168,19.61818123,12.97999954,18.99749947,21.79000092,22.01000023,10.60000038,102.0549545,14.68999958,5.510000229,6.610000134,6.522999763,17.57250023,11.11999989,22.86000061,8.449999809,0.219999999,12.13599968,11.18178463,10.14999962,27.21999931,21.64999962,32.4271698,17.11000061,22.96999931,42.93999863,17.72500038,17.78000069,1.159999967,21.87000084,20.95000076,5.53000021,6.920000076,23.38999939,38.99000168,18.34000015,6.960000038,55,1.619197965,14.89999962,11.5
23-06-20,13.93000031,102.9519196,17.42666626,33.52999878,19.59090805,12.93999958,19.61499977,21.60000038,22.18000031,10.47999954,102.9519196,14.64999962,5.400000095,7.010000229,6.322000027,17.19000053,11.38000011,23.46999931,8.520000458,0.219999999,12.47999954,10.62731647,10.06000042,26.86000061,21.53000069,32.61674118,17.20000076,22.89999962,41.86999893,17.5625,18.26000023,1.149999976,22.51000023,21.64999962,5.650000095,7.131999969,23.79999924,38.04000092,18.45999908,7.679999828,55.59000015,1.698397994,15.02999973,11.39000034
24-06-20,13.68000031,105.911911,17.54999924,32.22000122,18.95454407,13.14999962,19.17499924,21.48999977,21.87000084,10.34000015,105.911911,14.39999962,4.699999809,6.760000229,6.177999973,17.19750023,11.07999992,22.63999939,8.090000153,0.219999999,12.1420002,10.22070599,9.770000458,25.84000015,21.82999992,31.72873688,17.04000092,23,41.04999924,17.45000076,17.84000015,1.149999976,21.90999985,21,5.400000095,6.71600008,23.07999992,38.59999847,18.48999977,7.329999924,55.38999939,1.645598054,14.57999992,11.31999969
25-06-20,14.18000031,104.8953476,18.33333206,33.00999832,19.40909004,12.94999981,19.22500038,22.10000038,21.98999977,10.19999981,104.8953476,15.69999981,4.869999886,6.710000038,6.197999954,17.54000092,11.13000011,23.14999962,8.149999619,0.219999999,12.41600037,10.39628792,9.960000038,26.14999962,21.70999908,32.32739258,17.47999954,24.37999916,40.81000137,17.42250061,17.90999985,1.230000019,22.37000084,21.46999931,5.389999866,7.087999821,23.40999985,38.08000183,18.30999947,7.289999962,56,1.751566052,14.55000019,11.14999962
26-06-20,13.94999981,102.752594,17.81666565,31.81999969,18.80908966,12.78999996,18.16749954,21.21999931,21.45000076,9.640000343,102.752594,14.80000019,4.630000114,6.360000134,6.05700016,17.17250061,10.71000004,21.92000008,7.829999924,0.209999993,12.26399994,10.95999718,9.659999847,25.70999908,21.18000031,31.06023788,16.64999962,23.96999931,40.59999847,17.33749962,17.36000061,1.149999976,21.87999916,20.84000015,5.210000038,6.889999866,22.79000092,37.88000107,17.63999939,7.099999905,55.61999893,1.691853046,14.28999996,10.77000046
29-06-20,14.26000023,105.7923126,18.31999969,33.43999863,19.4636364,12.96000004,18.92499924,21.46999931,20.87000084,10.14999962,105.7923126,14.69999981,4.619999886,6.550000191,6.138000011,17.54500008,10.55000019,22.96999931,8.420000076,0.219999999,12.61999989,11.51446629,9.890000343,26.47999954,21.09000015,31.92828941,16.90999985,24,41.20000076,17.60250092,17.81999969,1.210000038,22.55999947,21.65999985,5.199999809,6.989999771,22.68000031,37.72999954,18,7.150000095,55.63000107,1.691853046,15.38000011,11.05000019
30-06-20,14.14000034,106.6892853,18.36333275,32.15000153,18.81818008,13.14999962,19.29999924,21.54999924,21.26000023,10.07999992,106.6892853,14.5,4.619999886,6.610000134,6.081999779,17.72999954,10.68000031,22.85000038,8.090000153,0.219999999,12.43400002,10.16525936,9.590000153,25.45000076,21.14999962,32.10788345,16.93000031,25.34000015,41.79999924,17.91250038,18,1.200000048,22.34000015,21.54999924,5.199999809,7.078000069,22.48999977,36.79000092,18.37999916,7.269999981,55.91999817,1.671949029,15.31000042,10.60999966
